iter	Logloss	PRAUC
0	0.6174726705	0.0592431431
5	0.3736779545	0.07525890246
10	0.2596044602	0.0801335014
15	0.2054597159	0.08224507199
20	0.1784915057	0.0833708941
25	0.1642068608	0.08486841685
30	0.1560966051	0.08710182436
35	0.1515428125	0.0889129227
40	0.1487892472	0.0899415456
45	0.1470737358	0.09068980385
50	0.1460037642	0.09152882337
55	0.1452997017	0.09227659375
60	0.144736875	0.09253200755
65	0.1443340767	0.0934369462
70	0.1440193182	0.09393736059
75	0.1437916903	0.09428367879
80	0.14361375	0.0948045017
85	0.1434352131	0.09536650933
90	0.1432557244	0.09580623557
95	0.1431121733	0.09628854151
100	0.1429866761	0.09676321665
105	0.1428478267	0.09715309598
110	0.1427462642	0.09753605442
115	0.142656108	0.09797056913
120	0.1425628409	0.09824792953
125	0.1424909801	0.0985242148
130	0.1423658523	0.09893298424
135	0.1422944176	0.09928240084
140	0.1422094318	0.09972994597
145	0.1421225142	0.1000536063
150	0.1420127983	0.1004561319
155	0.1419339773	0.1007923218
160	0.1418718608	0.1011658576
165	0.1418193324	0.1014592214
170	0.1417604545	0.1017295668
175	0.1417168466	0.1019855824
180	0.1416760227	0.1022449105
185	0.1416319034	0.1024564507
190	0.1415780824	0.1027190209
195	0.1415351705	0.1030182266
200	0.1414870739	0.1032671919
205	0.1414265625	0.1036011919
210	0.1413852415	0.1038596017
215	0.1413524006	0.104033359
220	0.1413099858	0.1042696773
225	0.1412696165	0.1045003757
230	0.1412346165	0.1047112904
235	0.1411891761	0.1049960586
240	0.141141946	0.1052415383
245	0.1411169886	0.1054633366
250	0.1410861506	0.105711599
255	0.1410448295	0.1059842242
260	0.1410070881	0.1062214992
265	0.1409623011	0.1064510292
270	0.1409370028	0.1066682469
275	0.1409136932	0.1068529378
280	0.1408812216	0.1071258053
285	0.14084625	0.1073639736
290	0.1408195881	0.1075850379
295	0.1407910227	0.1077794182
300	0.1407600994	0.1079739804
305	0.1407314347	0.1081663888
310	0.1406946165	0.1084349307
315	0.140669375	0.1086489788
320	0.1406382528	0.1088238398
325	0.1406191903	0.1089620778
330	0.1405997727	0.1091565875
335	0.1405783097	0.1093466009
340	0.1405536364	0.1095221809
345	0.1405285653	0.1096926467
350	0.1405048295	0.1098779025
355	0.1404810795	0.1100515743
360	0.1404528551	0.1102415627
365	0.1404224858	0.1104655389
370	0.1404029545	0.1106471936
375	0.140378892	0.110863093
380	0.1403568608	0.1110232045
385	0.1403342898	0.1112092716
390	0.1403093182	0.1114103727
395	0.1402933807	0.1115558924
400	0.1402737074	0.111709199
405	0.1402543892	0.1118866339
410	0.1402409801	0.1120027279
415	0.1402258523	0.1121514996
420	0.140210483	0.1122931705
425	0.140190767	0.1124836439
430	0.1401775142	0.112639804
435	0.1401583949	0.1128243175
